City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
295,Pirgos,GR,2020-01-02 20:15:12,35.12,25.72,48.2,87,75,27.51
296,Fortuna Foothills,US,2020-01-02 20:15:12,32.66,-114.41,70.0,24,1,21.92
297,Faanui,PF,2020-01-02 20:15:12,-16.48,-151.75,81.12,77,100,13.31
298,Maraa,BR,2020-01-02 20:15:13,-1.83,-65.37,89.96,58,31,2.42
299,San Cristobal,HN,2020-01-02 20:12:19,14.68,-86.92,81.72,34,28,6.29
300,Atherton,AU,2020-01-02 20:15:14,-17.27,145.48,77.0,83,40,2.24
301,Saint-Pierre,FR,2020-01-02 20:12:18,48.95,4.24,46.4,100,90,13.87
302,Pitlochry,GB,2020-01-02 20:15:15,56.7,-3.73,51.01,93,75,18.34
303,Tuatapere,NZ,2020-01-02 20:15:15,-46.13,167.69,52.0,73,1,17.0
304,Marawi,PH,2020-01-02 20:15:16,8.0,124.29,75.0,90,100,5.01
